Categoria;Data;Grupo;Produto;Ano Do Carro;Estado;Valor
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Pernambuco</span>";R$50.590
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2021;"<span class=""ui-search-item__group__element ui-search-item__location"">Pernambuco</span>";R$51.890
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$47.790
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$48.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$48.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$48.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$48.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2021;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$56.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$46.490
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$48.490
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$48.490
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$47.490
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$48.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">Bahia</span>";R$44.590
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2021;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$50.890
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$48.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$46.490
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$47.490
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2021;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$50.890
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2021;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$51.890
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$47.490
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Bahia</span>";R$47.490
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">Santa Catarina</span>";R$46.490
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2021;"<span class=""ui-search-item__group__element ui-search-item__location"">Goiás</span>";R$50.890
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">Goiás</span>";R$44.590
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2021;"<span class=""ui-search-item__group__element ui-search-item__location"">Goiás</span>";R$51.890
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2021;"<span class=""ui-search-item__group__element ui-search-item__location"">Goiás</span>";R$51.890
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2021;"<span class=""ui-search-item__group__element ui-search-item__location"">Goiás</span>";R$50.890
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi City 8v Flex 4p Manual;2015;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$28.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex Trendline 4p Manual;2018;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$37.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi Trendline 8v Flex 4p Manual;2015;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$30.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Total Flex 5p;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$41.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2021;"<span class=""ui-search-item__group__element ui-search-item__location"">Distrito Federal</span>";R$50.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2021;"<span class=""ui-search-item__group__element ui-search-item__location"">Distrito Federal</span>";R$49.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol 1.6 Msi Trendline (flex);2018;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$40.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$50.450
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Norte</span>";R$45.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex Trendline 4p Manual;2017;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$38.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$47.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio de Janeiro</span>";R$45.320
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$43.490
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Volkswagen Gol 1.0 Mpi Trendline 12v 5p (flex);2018;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$37.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Total Flex 5p;2015;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$23.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 8v Gasolina 2p Manual;1996;"<span class=""ui-search-item__group__element ui-search-item__location"">Bahia</span>";R$19.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi (flex);2019;"<span class=""ui-search-item__group__element ui-search-item__location"">Mato Grosso</span>";R$47.030
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 8v Flex 4p Manual G.v;2010;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$18.490
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex Trendline 4p Manual;2018;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$38.890
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 8v Flex 4p Manual G.iv;2010;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$20.899
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 8v G.vi;2015;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$31.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Santa Catarina</span>";R$47.490
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$49.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$45.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$47.890
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$46.150
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio de Janeiro</span>";R$43.100
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$45.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio de Janeiro</span>";R$49.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Santa Catarina</span>";R$49.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$49.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Paraná</span>";R$45.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Goiás</span>";R$45.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Goiás</span>";R$49.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Goiás</span>";R$45.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Goiás</span>";R$45.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Total Flex 5p;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio de Janeiro</span>";R$46.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$45.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$49.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Total Flex 5p;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$41.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Goiás</span>";R$45.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Goiás</span>";R$45.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Goiás</span>";R$45.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$45.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$50.350
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$49.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$45.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$48.060
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Paraná</span>";R$45.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$49.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Mi 8v Flex 4p Manual;2013;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio de Janeiro</span>";R$28.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 8v G.iv;2013;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$21.929
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio de Janeiro</span>";R$52.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio de Janeiro</span>";R$52.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 16v Msi Totalflex 4p Automático;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio de Janeiro</span>";R$59.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio de Janeiro</span>";R$52.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex Trendline 4p Manual;2018;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$39.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 8v Flex 4p Manual G.iv;2013;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$24.950
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2021;"<span class=""ui-search-item__group__element ui-search-item__location"">Distrito Federal</span>";R$50.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2021;"<span class=""ui-search-item__group__element ui-search-item__location"">Distrito Federal</span>";R$49.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Goiás</span>";R$45.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$49.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 8v Flex 4p Manual G.v;2011;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$20.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Mi City 8v Flex 4p Manual;2014;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$33.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 8v Flex 4p Manual;2013;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio de Janeiro</span>";R$33.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol 1.6 (g5) (flex);2010;"<span class=""ui-search-item__group__element ui-search-item__location"">Santa Catarina</span>";R$23.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 8v Flex 4p Manual G.iv;2012;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$32.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 8v Flex 2p Manual G.iv;2011;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$15.499
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex Trendline 4p Manual 2018/2018;2018;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$41.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex Trendline 4p Manual 2017/2018;2018;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$34.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex Trendline 4p Manual 2018/2018;2018;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$35.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 16v Plus 5p;2001;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$12.000
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol (novo) 1.6 Mi Total Flex 8v 4p Automatico;2021;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$59.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 3p Gasolina;1997;"<span class=""ui-search-item__group__element ui-search-item__location"">Santa Catarina</span>";R$3.500
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$49.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 8v Flex 4p Manual G.v;2012;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$23.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mpi Trendline 12v 5p (flex);2018;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$36.250
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Volkswagen Gol 1.6 Msi (flex);2020;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$50.490
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 8v Flex 2p Manual G.iv;2010;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$12.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol Highline 1.6 Total Flex 4p;2017;"<span class=""ui-search-item__group__element ui-search-item__location"">Paraná</span>";R$44.800
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol G5 Power 1.6 8v 4p;2010;"<span class=""ui-search-item__group__element ui-search-item__location"">Paraná</span>";R$25.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Power 1.6 Mi 8v Total Flex;2013;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$32.890
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Power 1.6 Mi 8v Total Flex;2013;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$32.890
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Power 1.6 Mi 8v Total Flex;2013;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$32.890
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Power 1.6 Mi 8v Total Flex;2013;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$32.890
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 8v Gasolina 2p Manual G.iii;2004;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$10.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio de Janeiro</span>";R$37.392
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$47.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$49.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$41.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 3p Gasolina;1997;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$9.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v (flex);2020;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$47.650
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 16v Msi Totalflex 4p Automático;2021;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$61.999
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 City Total Flex 3p;2015;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$24.500
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Special 2p Gasolina;2003;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$12.000
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Trend Total Flex 3p;2008;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$9.999
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Power Total Flex 5p;2008;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$18.000
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 3p Gasolina;1996;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$10.500
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Trendline Total Flex 5p;2016;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$31.900
